Date,Average Flow,Average Temperature,Average Flow Scaled,Cluster,Cluster_0_Prob,Cluster_1_Prob,Cluster_2_Prob,Cluster_3_Prob,Cluster Name,Average Temperature (K),k
2023-09-19,268.56,13.16,0.3508764344953522,1,0.000124849400246,0.9998751505911508,8.602847234210772e-12,5.016256588419336e-187,Upper-Medium,286.31,2.457
2023-09-20,165.89,11.34,-0.1425861128034931,0,0.8140396637435428,0.1859603362564573,2.9805775829125764e-19,1.2558613805552193e-56,Lower-Medium,284.49,2.137
2023-09-22,166.12,10.51,-0.1414806644166348,0,0.8117294129812629,0.188270587018737,3.136094914565395e-19,7.845990825347595e-57,Lower-Medium,283.66,2.004
2023-09-23,125.5,10.82,-0.3367124621304664,0,0.9725887713069824,0.0274112286930175,3.895252345593325e-23,1.6939147457296494e-26,Lower-Medium,283.97,2.052
2023-09-24,117.59,11.88,-0.3747302740437211,0,0.9790607354576388,0.0209392645423612,7.063910263776314e-24,6.4827383980307e-22,Lower-Medium,285.03,2.227
2023-09-25,113.97,12.09,-0.3921290703934029,0,0.9812316683662624,0.0187683316337374,3.2566661785018944e-24,5.836013156351467e-20,Lower-Medium,285.24,2.264
2023-09-26,94.53,12.08,-0.4855634905695941,0,0.9878628987978308,0.012137101148808,5.51438371756535e-26,5.336113647104239e-11,Lower-Medium,285.23,2.262
2023-09-27,106.01,12.1,-0.4303871971733659,0,0.9847813230663416,0.0152186769336576,6.030683559901872e-25,5.59773209070868e-16,Lower-Medium,285.25,2.265
2023-09-29,118.57,11.1,-0.3700201026562383,0,0.978398561515482,0.0216014384845179,8.717997976563669e-24,1.850291472443487e-22,Lower-Medium,284.25,2.097
2023-09-30,112.83,10.38,-0.3976082493543524,0,0.9818345863339352,0.0181654136660646,2.5543756013999496e-24,2.3067357627565454e-19,Lower-Medium,283.53,1.984
2023-10-01,124.6,9.72,-0.341038129731216,0,0.9734706873802274,0.0265293126197725,3.204179102620623e-23,5.915005572903045e-26,Lower-Medium,282.87,1.884
2023-10-02,124.54,9.2,-0.341326507571266,0,0.973527970360578,0.0264720296394219,3.162760000065954e-23,6.426313114547723e-26,Lower-Medium,282.35,1.809
2023-10-03,110.29,9.27,-0.4098162445831345,0,0.9830559172353128,0.0169440827646871,1.4892302179184635e-24,4.580325561946644e-18,Lower-Medium,282.42,1.819
2023-10-04,128.46,9.88,-0.3224858220213344,0,0.9693641715596956,0.0306358284403043,7.417977340290363e-23,2.532938494392431e-28,Lower-Medium,283.03,1.908
2023-10-06,120.49,11.05,-0.3607920117746392,0,0.9769975672641108,0.0230024327358891,1.3177739416136368e-23,1.5182915122389597e-23,Lower-Medium,284.2,2.089
2023-10-07,120.03,10.54,-0.3630029085483556,0,0.9773463079400998,0.0226536920599003,1.1934511376582037e-23,2.778535710946809e-23,Lower-Medium,283.69,2.008
2023-10-08,113.78,10.01,-0.3930422668868945,0,0.981334658934783,0.018665341065217,3.1273618333008327e-24,7.348766486407959e-20,Lower-Medium,283.16,1.927
2023-10-09,120.69,9.96,-0.3598307523078059,0,0.9768432647139051,0.0231567352860947,1.3758211047059342e-23,1.1662441808961381e-23,Lower-Medium,283.11,1.92
2023-10-10,117.64,10.3,-0.3744899591770129,0,0.9790277716660624,0.0209722283339377,7.140087615065707e-24,6.083257719566558e-22,Lower-Medium,283.45,1.971
2023-10-11,114.79,10.71,-0.3881879065793865,0,0.9807752827721912,0.0192247172278088,3.8794727668584384e-24,2.1442634088080966e-20,Lower-Medium,283.86,2.035
2023-10-13,78.96,8.96,-0.560397540062562,0,0.9896643908535422,0.0103246410040652,2.3229115254821056e-27,1.096814239260764e-05,Lower-Medium,282.11,1.775
2023-10-14,83.08,8.75,-0.5405955950457972,0,0.989397656878256,0.010601718565881,5.323729736856506e-27,6.245558630103391e-07,Lower-Medium,281.9,1.746
2023-10-15,75.52,8.98,-0.5769312028920939,0,0.9897127176844644,0.0101894828129723,1.1677649239981957e-27,9.779950256334252e-05,Lower-Medium,282.13,1.778
2023-10-16,97.22,9.36,-0.472634550740687,0,0.9873055147134336,0.0126944852821876,9.617390644106234e-26,4.378905068788461e-12,Lower-Medium,282.51,1.832
2023-10-17,98.11,9.91,-0.468356946113279,0,0.9871013911091318,0.0128986088890011,1.156728781728126e-25,1.8672691728485124e-12,Lower-Medium,283.06,1.912
2023-10-18,94.05,9.89,-0.4878705132899938,0,0.9879534421946174,0.0120465577230103,4.994755884865935e-26,8.237224023705914e-11,Lower-Medium,283.04,1.909
2023-10-20,100.27,10.25,-0.45797534387148,0,0.9865618591592894,0.0134381408404864,1.8127300795729325e-25,2.2403330406742362e-13,Lower-Medium,283.4,1.964
2023-10-21,98.12,9.65,-0.4683088831399373,0,0.9870990391278472,0.0129009608703034,1.15913251774955e-25,1.84934127007166e-12,Lower-Medium,282.8,1.874
2023-10-22,100.74,9.31,-0.4557163841244219,0,0.9864357511178682,0.0135642488819919,1.9993251311211504e-25,1.39863685177213e-13,Lower-Medium,282.46,1.825
2023-10-23,183.87,8.46,-0.0561688867351844,0,0.544208708156644,0.4557912918433562,1.408878178857824e-17,9.110030738502128e-74,Lower-Medium,281.61,1.707
2023-10-24,233.59,8.03,0.1828002167195596,1,0.0100058300250711,0.9899941699748652,6.367458541804599e-14,6.451597491348171e-134,Upper-Medium,281.18,1.65
2023-10-25,165.51,7.92,-0.1444125057904762,0,0.8177964675032036,0.1822035324967966,2.740219720410965e-19,2.726710837163273e-56,Lower-Medium,281.07,1.636
2023-11-01,60.5,2.23,-0.6491217888512704,0,0.8563220306593433,0.0091703380335585,5.28498701932321e-29,0.1345076313070982,Lower-Medium,275.38,1.033
2023-11-02,65.18,2.34,-0.6266283173273725,0,0.967565976113564,0.010063211157649,1.4838556560067528e-28,0.0223708127287867,Lower-Medium,275.49,1.043
2023-11-03,68.14,2.55,-0.6124016772182405,0,0.984202168052172,0.0101286934967225,2.695710954737406e-28,0.0056691384511055,Lower-Medium,275.7,1.061
2023-11-04,65.64,3.13,-0.6244174205536561,0,0.971648998608428,0.0100850396659306,1.630306514565268e-28,0.0182659617256412,Lower-Medium,276.28,1.113
2023-11-16,72.86,3.5,-0.589715953800976,0,0.9893928003971928,0.01014002083624,6.879814332128128e-28,0.0004671787665668,Lower-Medium,276.65,1.147
2023-11-17,73.35,2.53,-0.5873608681072345,0,0.9895009515439466,0.0101458390458175,7.58295875207607e-28,0.0003532094102358,Lower-Medium,275.68,1.059
2023-11-18,64.51,2.01,-0.6298485365412639,0,0.9601517810076522,0.0100185338525377,1.291926189017512e-28,0.02982968513981,Lower-Medium,275.16,1.015
2023-11-19,61.77,1.79,-0.6430177912368792,0,0.9031498953250532,0.0095808691299784,7.129907068033363e-29,0.0872692355449686,Lower-Medium,274.94,0.997
2023-11-20,76.08,2.23,-0.5742396763849608,0,0.9897248276555984,0.0102058022412813,1.3057308727270747e-27,6.937010312022468e-05,Lower-Medium,275.38,1.033
2023-11-21,60.15,3.18,-0.6508039929182285,0,0.8406743774961865,0.0090280321253472,4.8485936359048407e-29,0.1502975903784661,Lower-Medium,276.33,1.117
2023-11-22,37.78,4.1,-0.7583208642835267,3,0.0721908583662564,0.0011080573394205,6.038221759381366e-32,0.9267010842943232,Low,277.25,1.204
2023-11-23,55.08,3.23,-0.6751719204024513,0,0.5127083057145052,0.0057895718690436,1.1141953811650981e-29,0.4815021224164511,Lower-Medium,276.38,1.122
2023-11-24,51.27,2.97,-0.6934839132456245,3,0.2844952922852814,0.0033758960202321,2.9880898834980767e-30,0.7121288116944863,Low,276.12,1.098
2023-11-25,63.82,2.71,-0.6331648817018386,0,0.95031850737023,0.0099523710137356,1.1177247185852935e-28,0.0397291216160343,Lower-Medium,275.86,1.075
2023-11-26,52.79,2.81,-0.686178341297692,3,0.3634363547932804,0.0042229915935085,5.0984556972915286e-30,0.6323406536132111,Low,275.96,1.084
2023-11-27,51.4,2.85,-0.6928590945921829,3,0.2905490519629323,0.0034413256010578,3.1280461407929493e-30,0.7060096224360097,Low,276.0,1.087
2023-11-28,48.41,3.26,-0.70722992362134,3,0.1815182928100781,0.0022506308957603,1.1085835650667388e-30,0.8162310762941615,Low,276.41,1.125
2023-11-29,43.19,3.27,-0.7323187957056876,3,0.0960324032901123,0.0013092564120785,2.1976237766498102e-31,0.9026583402978092,Low,276.42,1.126
2023-12-08,66.89,2.1,-0.6184095488859483,0,0.9795621781205625,0.0101184255012631,2.099317723376986e-28,0.0103193963781745,Lower-Medium,275.25,1.022
2023-12-09,62.7,2.1,-0.6385479347161047,0,0.9283665642226516,0.0097874865765328,8.780215972970866e-29,0.0618459492008155,Lower-Medium,275.25,1.022
2023-12-10,53.47,1.87,-0.6829100591104589,3,0.4043945610999891,0.0046574029332208,6.459053733503773e-30,0.5909480359667901,Low,275.02,1.003
2023-12-11,68.85,1.8,-0.6089892061109825,0,0.9858840384388536,0.0101295734994127,3.1048842456511115e-28,0.0039863880617333,Lower-Medium,274.95,0.997
2023-12-12,63.14,2.77,-0.6364331638890717,0,0.9379810165778308,0.0098619583081478,9.66386588142104e-29,0.0521570251140212,Lower-Medium,275.92,1.08
2023-12-13,56.92,3.0,-0.6663283333075853,0,0.6451342817836706,0.0071384911447761,1.9956922012541894e-29,0.3477272270715531,Lower-Medium,276.15,1.101
2023-12-14,41.35,3.02,-0.7411623828005534,3,0.0832010084836833,0.0011782641327153,1.3503907809049422e-31,0.9156207273836012,Low,276.17,1.103
2023-12-21,20.2,2.09,-0.8428155714181689,3,0.4007135638459179,0.0104152493719989,1.374161870592718e-32,0.588871186782083,Low,275.24,1.022
2023-12-26,36.1,2.71,-0.7663954438049261,3,0.0719830919055349,0.0011510840057765,4.4146588479133236e-32,0.9268658240886886,Low,275.86,1.075
2023-12-29,30.63,3.24,-0.7926858902228152,3,0.094529621772716,0.0017512149796792,2.126534303079203e-32,0.9037191632476046,Low,276.39,1.123
2023-12-31,29.53,2.6,-0.797972817290398,3,0.104977191920835,0.002008237813433,1.9328693326334366e-32,0.8930145702657319,Low,275.75,1.065
2024-01-02,31.0,3.09,-0.7909075602091737,3,0.0915841125844263,0.0016787368343103,2.2041029033099952e-32,0.9067371505812633,Low,276.24,1.109
2024-01-04,31.17,2.97,-0.7900904896623654,3,0.0903177442787338,0.0016475243754641,2.2421147603462808e-32,0.908034731345802,Low,276.12,1.098
2024-01-05,31.59,2.77,-0.7880718447820156,3,0.087411346549314,0.0015756758302516,2.3429294874788568e-32,0.9110129776204344,Low,275.92,1.08
2024-01-07,22.66,2.73,-0.8309920799761199,3,0.2709507502477304,0.0064573858317519,1.4426379244805882e-32,0.7225918639205177,Low,275.88,1.077
2024-01-08,34.46,3.07,-0.7742777714329585,3,0.0746839709193337,0.0012453891926808,3.386798789337887e-32,0.9240706398879855,Low,276.22,1.107
2024-01-10,38.47,2.6,-0.7550045191229521,3,0.0731427729926802,0.0011045642420575,6.951530907945973e-32,0.9257526627652624,Low,275.75,1.065
2024-01-11,31.69,1.98,-0.787591215048599,3,0.0867642322762139,0.0015596214582414,2.368462758172579e-32,0.9116761462655446,Low,275.13,1.012
2024-01-12,36.08,1.53,-0.7664915697516094,3,0.071998470426375,0.0011519054379654,4.399349084659205e-32,0.9268496241356596,Low,274.68,0.975
2024-01-14,28.97,1.24,-0.8006643437975312,3,0.11139674528366,0.0021668819597839,1.8525375197746543e-32,0.886436372756556,Low,274.39,0.952
2024-01-15,35.06,1.09,-0.7713939930324588,3,0.0733513021793696,0.0012042914874011,3.7143576261501607e-32,0.9254444063332292,Low,274.24,0.94
2024-01-17,28.11,1.6,-0.804797759504914,3,0.122948686264917,0.0024546803835918,1.7491218515601701e-32,0.8745966333514911,Low,274.75,0.981
2024-01-19,33.3,2.12,-0.7798530763405913,3,0.0784755383016816,0.0013495225972745,2.876274744814597e-32,0.920174939101044,Low,275.27,1.024
2024-01-20,30.23,1.66,-0.7946084091564817,3,0.0980223358851901,0.0018370721987623,2.05008226146265e-32,0.9001405919160475,Low,274.81,0.986
2024-01-21,37.44,2.52,-0.7599550053771433,3,0.0719094633577783,0.0011127521204568,5.648102924164893e-32,0.9269777845217648,Low,275.67,1.058
2024-01-30,49.43,2.57,-0.7023275003404903,3,0.2120728702839379,0.0025869157941726,1.5709345287751606e-30,0.7853402139218894,Low,275.72,1.063
2024-01-31,36.47,2.49,-0.7646171137912845,3,0.0717746379595944,0.001137245749265,4.712780386909901e-32,0.9270881162911406,Low,275.64,1.056
2024-02-01,46.87,2.46,-0.7146316215159558,3,0.1458372532031135,0.0018558877272566,6.660102845312632e-31,0.8523068590696298,Low,275.61,1.053
2024-02-02,38.6,2.62,-0.7543797004695105,3,0.0733803498458716,0.0011048042125504,7.144152732910361e-32,0.925514845941578,Low,275.77,1.067
2024-02-03,42.81,2.79,-0.7341451886926706,3,0.0928774514673716,0.0012759741556739,1.9796402931764223e-31,0.9058465743769544,Low,275.94,1.082
2024-02-04,39.91,2.61,-0.7480834509617528,3,0.0768595606572073,0.0011231796379922,9.542180534286047e-32,0.9220172597048004,Low,275.76,1.066
2024-02-05,46.24,2.83,-0.7176595888364805,3,0.1342462834141446,0.0017274916340281,5.444840099726766e-31,0.8640262249518272,Low,275.98,1.086
2024-02-06,32.6,2.17,-0.7832174844745078,3,0.0816109292682078,0.0014304058278391,2.6311939626638865e-32,0.916958664903953,Low,275.32,1.028
2024-02-07,47.01,2.42,-0.7139587398891727,3,0.148629896157439,0.0018868282262455,6.969129037461126e-31,0.8494832756163154,Low,275.57,1.05
2024-02-08,32.54,2.79,-0.7835058623145578,3,0.0819118378813312,0.0014380467087387,2.6120494564722464e-32,0.91665011540993,Low,275.94,1.082
2024-02-09,48.7,2.95,-0.7058360973944318,3,0.1895868010487314,0.0023396178247067,1.2231263902842944e-30,0.8080735811265619,Low,276.1,1.096
2024-02-10,42.41,3.31,-0.7360677076263372,3,0.0898574376549285,0.0012446084543453,1.77734565832863e-31,0.9088979538907264,Low,276.46,1.129
